token	freq	docs
pas	371	67068,67383,67386,67388,67391,67553,67555,67794,67795,67798,67801,67937,67938,67940,67941,67943,68273,68274,68276,68383,68389,68390,68638,68643,68644,68881,68882,68885,68887,69177,69178,69183,69184,69533,69534,69535,69537,69539,69540,69542,69813,69819,69821,70161,70166,70420,70421,70422,70423,70744,70745,70749,70914,70915,70916,70917,70921,70923,71357,71359,71612,71614,71617,71620,71835,71837,71840,71842,72113,72114,72115,72119,72392,72393,72394,72396,72629,72630,72631,72632,72634,72635,72636,72932,72933,72934,72935,72937,72939,72940,73182,73183,73185,73430,73431,73432,73434,73683,73684,73685,73687,73688,73875,73876,73877,73879,74167,74168,74169,74172,74173,74176,74449,74450,74451,74453,74454,74455,74457,74744,74745,74749,74752,75063,75457,75458,75459,75789,75790,75792,75793,75794,76206,76207,76209,76210,76213,76507,76508,76511,76515
faire	368	67068,67071,67383,67388,67389,67391,67553,67554,67555,67557,67794,67795,67804,67937,67938,67939,67940,67941,67942,68273,68274,68275,68279,68383,68385,68387,68388,68390,68391,68392,68638,68640,68643,68644,68881,68882,68883,68884,68886,68887,69178,69184,69185,69539,69540,69813,69814,69815,69816,69817,69821,70161,70162,70163,70165,70166,70167,70421,70422,70423,70424,70429,70744,70745,70747,70914,70915,70917,70919,70921,70922,70923,71357,71358,71359,71363,71366,71612,71614,71617,71621,71835,71836,71837,71839,71842,71843,72113,72114,72115,72117,72392,72393,72394,72396,72397,72399,72629,72630,72631,72634,72635,72932,72933,72934,72939,72940,73182,73183,73184,73185,73187,73430,73431,73432,73434,73435,73436,73683,73684,73685,73688,73875,73876,73877,73878,73879,73880,73883,73884,74167,74168,74169,74173,74174,74175,74176,74449,74455,74457,74744,74745,74747,74748,74749,74752,75063,75065,75066,75070,75071,75457,75458,75459,75461,75464,75788,75789,75790,75791,75792,75793,75796,76206,76207,76209,76213,76507,76511,76513
entreprise	361	67068,67383,67385,67553,67561,67795,67796,67938,67945,67946,68273,68274,68277,68278,68279,68383,68384,68387,68392,68393,68643,68646,68884,69535,69541,69815,69818,70161,70165,70166,70168,70169,70421,70422,70753,70914,71357,71359,71360,71614,71616,71619,71839,71840,71841,71842,71845,72113,72114,72117,72118,72121,72394,72395,72396,72400,72629,72630,72633,72634,72933,72935,72937,72938,72939,73182,73184,73185,73187,73190,73430,73434,73435,73438,73685,73686,73687,73689,73691,73875,73876,73878,73879,73884,74167,74171,74172,74175,74176,74450,74451,74453,74454,74455,74744,74746,74747,74748,74749,74752,75063,75065,75066,75067,75068,75069,75071,75457,75458,75464,75465,75466,75792,75793,76207,76208,76211,76212,76213,76507,76508,76509,76510,76511,76513
nouveau	327	67068,67071,67385,67389,67555,67556,67557,67558,67795,67796,67802,67804,67937,67938,67942,67945,68274,68276,68278,68279,68280,68387,68390,68391,68393,68638,68639,68640,68643,68644,68645,68646,68881,68882,68883,68885,68887,69177,69178,69179,69180,69181,69183,69184,69533,69534,69538,69539,69813,69814,69815,69816,70164,70169,70420,70422,70423,70426,70429,70745,70746,70748,70751,70752,70914,70916,70918,70919,70921,70923,71357,71358,71359,71361,71362,71612,71614,71615,71616,71618,71619,71835,71836,71837,71838,71840,71841,72113,72116,72118,72120,72122,72392,72393,72395,72396,72398,72399,72629,72630,72631,72632,72634,72637,72933,72934,72935,72938,73182,73183,73184,73185,73187,73188,73189,73431,73432,73433,73434,73683,73684,73685,73686,73687,73875,73876,73877,73878,73879,73880,74167,74168,74169,74170,74171,74174,74175,74176,74449,74451,74452,74453,74454,74455,74456,74744,74745,74746,74747,74748,74749,74750,74751,74752,75063,75065,75066,75067,75068,75069,75070,75458,75459,75461,75463,75789,75792,75793,75796,76209,76210,76211,76213,76512,76513,76514
innovation	322	67068,67071,67383,67385,67386,67387,67556,67557,67561,67795,67796,67797,67938,67940,67941,67942,67946,68273,68274,68276,68277,68278,68279,68383,68384,68385,68386,68393,68639,68640,68641,68642,68882,68883,68884,68885,69180,69181,69533,69535,69536,69537,69538,69543,69814,69815,69816,69818,70161,70162,70163,70164,70165,70168,70420,70423,70424,70743,70744,70748,70751,70752,70753,70914,70917,70918,70919,70920,70921,71359,71360,71361,71363,71615,71616,71617,71620,71838,71839,71840,71841,72113,72120,72122,72392,72393,72395,72400,72630,72632,72633,72933,72934,72935,72937,72938,73182,73186,73187,73190,73430,73433,73438,73686,73687,73689,73876,73879,73880,73882,73883,74167,74170,74171,74172,74176,74451,74452,74453,74454,74455,74456,74744,74747,74748,74750,74752,75065,75066,75068,75069,75071,75457,75460,75465,75466,75789,75790,75791,75797,76208,76209,76211,76212,76213,76507,76509,76510,76514
année	309	67068,67385,67387,67794,67795,67800,67801,67802,67803,67937,67939,67945,68274,68276,68281,68283,68383,68385,68387,68389,68391,68392,68638,68641,68646,68881,68882,68885,68887,68888,69177,69178,69179,69185,69533,69534,69536,69539,69542,69811,69815,69821,70161,70164,70167,70170,70421,70422,70423,70744,70915,70916,70917,70920,71357,71358,71359,71362,71612,71614,71618,71620,71621,71835,71836,71837,71840,71842,72113,72115,72119,72392,72393,72394,72395,72396,72398,72400,72629,72630,72631,72632,72932,72933,72937,72939,73182,73183,73184,73185,73430,73431,73432,73434,73435,73436,73683,73684,73685,73688,73875,73876,73877,73878,73880,73881,74167,74168,74169,74170,74171,74450,74452,74454,74455,74457,74744,74745,74746,74747,75063,75064,75065,75071,75457,75458,75459,75461,75462,75465,75466,75788,75789,75791,75792,75793,76206,76208,76209,76211,76507,76508,76509,76511,76512,76514
aller	305	67068,67383,67385,67387,67390,67554,67555,67558,67794,67795,67798,67800,67802,67937,67938,67939,67945,68273,68275,68276,68277,68279,68383,68638,68643,68646,68881,68882,68884,69178,69533,69534,69535,69539,69812,69813,69815,69817,70161,70162,70166,70168,70420,70421,70423,70424,70425,70744,70745,70748,70749,70916,70917,70923,71357,71358,71359,71360,71362,71612,71614,71835,71836,71837,71840,71842,71843,72114,72116,72392,72393,72394,72397,72629,72630,72631,72634,72635,72932,72933,72935,72938,73182,73183,73185,73189,73430,73431,73432,73434,73683,73684,73685,73686,73689,73875,73876,73877,73884,74167,74168,74170,74450,74451,74455,74744,74745,74746,74749,74751,74752,75063,75064,75065,75067,75069,75070,75457,75458,75459,75460,75461,75462,75788,75790,75792,75793,76206,76208,76209,76213,76510,76511,76515
lui	299	67387,67388,67389,67553,67554,67555,67557,67794,67795,67799,67801,67802,67937,67938,67939,68273,68274,68279,68383,68387,68389,68391,68643,68645,68646,68881,68882,68883,68885,68886,69177,69178,69179,69182,69183,69184,69185,69533,69535,69539,69540,69812,69813,69815,69816,69817,69819,69821,70161,70162,70163,70166,70169,70420,70421,70422,70423,70424,70745,70746,70749,70914,70915,70916,70918,71358,71359,71360,71361,71612,71614,71615,71616,71617,71620,71621,71836,71837,71840,71842,71843,72113,72114,72117,72118,72122,72394,72395,72397,72398,72400,72629,72630,72634,72636,72932,72933,72934,72935,72939,73182,73183,73184,73185,73187,73430,73431,73436,73683,73685,73686,73687,73688,73875,73876,73877,73878,73879,73882,74167,74168,74169,74171,74173,74449,74450,74451,74453,74455,74747,74749,74750,74751,74752,75064,75065,75069,75070,75457,75458,75459,75461,75462,75466,75789,75790,75794,75795,76207,76208,76209,76211,76213,76507,76508,76511
n	298	67068,67383,67386,67389,67391,67553,67554,67794,67795,67798,67801,67937,67938,67939,67941,67943,68273,68274,68276,68281,68383,68387,68390,68640,68642,68643,68644,68881,68882,68886,68887,69177,69178,69183,69184,69533,69534,69535,69537,69540,69811,69813,69819,70161,70166,70420,70421,70422,70743,70744,70745,70749,70914,70915,70916,70917,71357,71359,71612,71614,71618,71620,71835,71837,71840,71842,71843,72113,72114,72115,72117,72393,72394,72397,72629,72630,72631,72632,72634,72635,72636,72932,72933,72935,72939,72940,73182,73183,73185,73187,73189,73430,73431,73432,73434,73683,73684,73685,73687,73688,73876,73877,74167,74168,74169,74172,74173,74449,74450,74454,74455,74745,74746,74749,74751,75063,75065,75066,75070,75457,75458,75463,75789,75792,75793,75794,76206,76207,76209,76210,76213,76507,76508,76511,76515
alors	259	67068,67385,67389,67390,67553,67554,67555,67558,67794,67798,67801,67802,67937,67938,67939,67941,68274,68279,68387,68388,68390,68638,68643,68644,68645,68881,68882,68883,68884,68887,69177,69178,69181,69182,69183,69533,69534,69535,69536,69537,69539,69540,69811,69812,69819,70161,70166,70420,70421,70422,70423,70424,70426,70744,70747,70749,70916,70918,71357,71358,71359,71363,71612,71614,71617,71835,71837,71842,71843,72113,72115,72116,72117,72119,72394,72397,72629,72630,72631,72632,72633,72634,72636,72932,72934,72939,72940,73182,73183,73184,73185,73188,73430,73432,73434,73683,73684,73685,73688,73875,73876,73877,73882,74167,74168,74169,74449,74450,74454,74455,74744,74745,74751,75064,75065,75067,75069,75070,75457,75458,75459,75461,75462,75788,75789,75790,75791,75792,75793,75794,76206,76209,76213,76507,76508,76511
y	257	67068,67383,67389,67553,67554,67794,67795,67798,67937,67938,68274,68275,68276,68279,68383,68384,68386,68387,68393,68638,68643,68644,68882,68885,68887,69177,69178,69182,69183,69535,69537,69538,69812,69814,69817,69821,70161,70162,70163,70166,70421,70422,70424,70745,70915,70916,70917,70919,71358,71359,71362,71363,71612,71614,71621,71835,71837,71841,71842,72113,72114,72122,72393,72394,72395,72396,72401,72630,72631,72634,72636,72932,72933,72938,72939,73182,73183,73184,73185,73187,73188,73190,73430,73431,73432,73433,73434,73683,73684,73687,73688,73875,73876,73877,73882,74167,74168,74169,74172,74174,74450,74455,74744,74745,74746,74750,74752,75063,75064,75065,75066,75069,75070,75457,75458,75459,75461,75462,75466,75789,75790,75791,75792,75793,75794,76206,76207,76209,76210,76213,76507,76514
ne	255	67068,67383,67386,67388,67389,67391,67553,67554,67555,67558,67794,67795,67798,67801,67802,67938,67939,67940,67941,67942,68273,68276,68383,68387,68389,68390,68638,68643,68644,68881,68882,68883,68885,68887,69177,69183,69184,69533,69534,69535,69538,69539,69542,69812,69813,69821,70161,70162,70166,70420,70421,70422,70423,70429,70744,70745,70747,70749,70915,70916,70917,70921,70923,71357,71614,71617,71618,71621,71835,71836,71841,71842,72113,72114,72115,72392,72394,72396,72629,72631,72634,72635,72636,72932,72933,72934,72937,72938,73182,73185,73430,73432,73433,73434,73436,73683,73684,73687,73875,73876,73877,73879,74167,74168,74169,74172,74173,74449,74450,74451,74453,74455,74457,74744,74745,74749,74750,74752,75063,75069,75457,75458,75459,75788,75789,75790,75792,76206,76209,76210,76213,76508,76509,76511
autre	254	67068,67071,67385,67386,67388,67389,67390,67553,67554,67555,67556,67794,67795,67798,67800,67801,67937,67938,67939,67942,68273,68274,68276,68277,68278,68279,68281,68383,68387,68390,68391,68639,68642,68646,68881,68883,68886,68887,68888,69177,69179,69183,69184,69533,69536,69539,69811,69813,69814,69816,69817,69818,69819,69820,70161,70162,70163,70164,70168,70420,70421,70424,70425,70746,70749,70752,70914,70917,71357,71358,71359,71363,71614,71617,71618,71835,71836,71837,71842,72113,72114,72115,72117,72119,72392,72395,72396,72397,72401,72629,72630,72631,72633,72636,72932,72933,72937,72939,73182,73183,73184,73185,73186,73430,73432,73434,73436,73683,73684,73685,73687,73691,73876,73877,73879,74167,74168,74169,74173,74449,74453,74455,74744,74746,74747,74749,74750,75063,75065,75066,75068,75070,75457,75458,75459,75463,75788,75790,75792,75793,76206,76209,76210,76213,76507,76510,76511,76512,76516
grand	252	67068,67071,67383,67387,67388,67553,67554,67795,67796,67798,67937,67938,67939,67940,67943,67945,68273,68275,68276,68277,68279,68383,68389,68392,68638,68642,68643,68881,68882,68886,68888,69177,69178,69180,69181,69182,69534,69535,69540,69541,69543,69812,69814,69817,69820,70161,70163,70164,70166,70170,70420,70421,70422,70423,70424,70425,70426,70745,70746,70748,70752,70914,70917,70918,70922,71357,71358,71362,71363,71366,71612,71614,71617,71621,71835,71836,71837,71842,72113,72114,72115,72121,72392,72395,72397,72629,72630,72633,72634,72933,72936,72937,72939,72940,73182,73184,73185,73187,73430,73431,73432,73434,73683,73684,73687,73690,73875,73876,73877,73882,73883,73884,74167,74168,74169,74172,74175,74176,74450,74456,74745,74746,74752,75063,75066,75070,75071,75457,75458,75459,75788,75789,75792,75794,75795,75797,76211,76213,76511
développement	248	67383,67391,67553,67554,67556,67557,67561,67794,67795,67798,67799,67800,67803,67937,67939,67940,67946,68273,68277,68279,68385,68389,68393,68638,68642,68881,68884,68885,69178,69179,69181,69185,69534,69535,69538,69539,69812,69814,69815,69817,69818,69821,70161,70162,70164,70165,70166,70169,70420,70421,70422,70429,70745,70749,70914,70917,70920,70921,71357,71359,71360,71363,71366,71614,71616,71619,71621,71835,71839,71840,71841,72113,72114,72115,72116,72117,72118,72394,72395,72396,72398,72400,72629,72633,72637,72934,72935,72936,72938,73183,73184,73185,73430,73431,73432,73434,73436,73683,73684,73685,73687,73875,73876,73877,74167,74168,74170,74172,74173,74175,74176,74450,74453,74454,74455,74457,74744,74745,74746,74749,74751,75063,75064,75065,75458,75459,75461,75463,75466,75788,75789,75792,75794,75795,75797,76207,76213,76508,76510,76511,76514
technologie	240	67068,67388,67390,67553,67554,67557,67796,67797,67945,68273,68276,68281,68283,68638,68640,68642,68881,68884,68885,69177,69179,69180,69534,69535,69811,69814,69815,70161,70168,70421,70422,70426,70429,70751,70753,70914,70915,70916,70918,70921,70923,71359,71612,71614,71619,71838,71839,71840,72113,72115,72116,72117,72118,72392,72393,72397,72399,72629,72630,72633,72934,72935,72938,73182,73184,73185,73190,73431,73432,73435,73436,73686,73691,73876,73878,73879,73884,74167,74168,74174,74451,74454,74456,74744,74745,74746,74747,75064,75065,75066,75067,75069,75457,75461,75462,75463,75789,75792,75795,75796,76207,76208,76209,76210,76213,76508
on	229	67068,67383,67387,67388,67391,67555,67558,67795,67798,67801,67937,67942,67945,68274,68276,68383,68387,68388,68390,68391,68638,68642,68646,69179,69535,69811,69815,69816,69817,69821,70166,70420,70421,70422,70424,70425,70743,70745,70746,70749,70917,71357,71359,71363,71614,71618,71621,71835,71837,71840,71841,71842,71843,72113,72115,72116,72119,72392,72393,72397,72629,72630,72631,72632,72635,72636,72932,72933,72934,72938,73182,73183,73185,73188,73190,73430,73431,73432,73434,73435,73683,73684,73687,73876,73877,73879,73880,73882,74167,74168,74169,74176,74450,74454,74457,74744,74746,74750,74752,75063,75457,75458,75459,75462,75789,75790,75792,76206,76209,76210,76507,76508,76509,76511,76512,76513,76514
industriel	213	67068,67383,67385,67386,67388,67392,67553,67554,67555,67557,67558,67798,67945,67946,68273,68274,68275,68276,68278,68280,68383,68390,68392,68393,68641,68642,68881,68882,68885,68888,69179,69534,69535,69541,69815,69817,69818,69819,70161,70166,70170,70420,70422,70426,70748,70749,70752,70753,70914,70915,70917,70921,70923,71358,71359,71360,71361,71362,71363,71614,71615,71839,71840,72113,72114,72116,72392,72393,72394,72396,72399,72629,72634,72933,72936,72937,72938,73183,73188,73190,73430,73432,73434,73436,73685,73875,73876,73879,73882,73884,74167,74168,74172,74174,74450,74455,74456,74744,74746,74747,75065,75068,75071,75457,75462,75464,75465,75790,75791,75792,75793,75794,75795,75796,76207,76211,76213,76508,76511,76514
an	205	67068,67383,67389,67391,67555,67557,67794,67795,67798,67799,67937,67939,67945,68274,68275,68279,68383,68384,68392,68393,68641,68643,68645,68646,68881,68888,69177,69186,69534,69536,69811,69812,69813,69817,70163,70164,70422,70426,70428,70743,70749,70914,70916,70923,71357,71358,71359,71360,71362,71366,71614,71836,71837,71840,71841,72113,72114,72118,72394,72395,72397,72398,72630,72636,72637,72932,72933,72939,73182,73184,73185,73430,73432,73433,73434,73437,73683,73684,73685,73875,73877,74167,74168,74169,74175,74449,74450,74451,74453,74454,74455,74744,74745,74746,74749,74751,74752,75063,75065,75066,75068,75071,75457,75458,75459,75789,75790,75792,75793,76207,76208,76213,76507,76509,76511,76512
équipe	204	67068,67383,67385,67554,67555,67556,67557,67799,67801,67802,67937,67939,67940,67944,67945,68279,68280,68281,68283,68384,68385,68387,68388,68390,68391,68392,68639,68640,68643,68646,68881,68883,68887,69177,69183,69533,69534,69536,69537,69539,69541,69812,69813,69819,70161,70162,70166,70167,70421,70423,70743,70745,70914,70915,70917,70919,70921,70922,71357,71358,71359,71612,71615,71835,71837,71843,72115,72116,72117,72118,72392,72396,72629,72631,72634,72934,72937,73184,73186,73188,73189,73430,73432,73436,73683,73688,73689,73875,73876,73877,74167,74168,74170,74171,74172,74173,74176,74450,74453,74454,74455,74744,74745,74749,75063,75064,75065,75067,75069,75459,75460,75788,75789,75790,75791,75792,75793,76206,76210,76211,76212,76507
