token	freq	docs
centre	138	70921,73435,71357,71619,75457,72932,73184,74172,71618,68639,69537,73433,76211,73432,71621,72116,69534,70918,76206,75068,71839,72115,69181,73683,69817,67387,70162,69816,67797,67795,68277,67391,74449,69815,68276,67794,67555,69178,73685,73875,75790,70170,76515,70164,67801,70428,68885,75792,67802,68884,70749,70744,68889,69177,73884,72393,67946,68644,68888,70751,72634,68646,71840,73689,73688,70424,67945,70746,69818,73882,70421,67798,67940,72630,68278,70423,74452,70422,67943,71363,70914,72939,72938,75064,71612,75460,75067,71836,70916,71359,74745,68387,68393,75063,74744,71358,75464,74752,68384,74168
européen	149	70921,67939,73434,70920,74749,74167,72113,73432,69534,72114,71838,73430,75069,72934,71839,67557,68274,69181,73683,69817,70163,75797,72629,67554,68277,69815,67804,72400,67555,69178,69811,70164,69179,69812,67803,75792,68884,68645,72392,69177,73884,72393,70751,72636,67944,69821,68281,74454,70424,67945,71841,70752,70420,76508,68642,72630,73880,68278,67943,69538,70914,75065,75064,71835,70917,68383,75463,71361,75063,68386,75466,71358,74746,74168,74169,68385,71617
innovant	53	70921,74167,73437,73184,74748,74176,72936,69536,72114,70918,67068,69535,69817,75797,76513,72400,73691,76514,70164,73876,67553,69177,73884,71842,70751,69821,70169,74454,73878,70420,68279,68641,75461,69539,68383,71359,75466,71614,71366,71616,74746,75465
localiser	21	70921,72116,70919,70162,76507,74449,76510,70165,68646,74455,71841,67389,70743,68278,68279,72938,69539,71616,75459
roubaix	3	70921,70751
inaugurer	18	70921,71619,68639,73433,69535,69817,68277,69178,73875,68884,70751,70420,68278,70914,74751,68393,68385
occasion	81	70921,67939,71357,68638,75457,72933,73190,74748,72113,72936,73432,73183,75069,67068,73683,69817,70162,70161,67804,72399,72400,67555,69811,73685,73875,70165,76514,70170,70164,69186,67801,70428,73877,69542,70749,69177,74456,68283,72393,67946,68888,70751,67561,70168,67945,70752,71845,67941,73883,67388,73882,72396,72939,72938,75064,71612,70917,75462,71837,70916,72122,75464,74746,75458,74752,75459,75465,72120
pôle	166	70921,73434,68638,71619,74749,73184,74172,74748,73433,72116,69534,75069,75068,73431,71839,69817,75796,70162,76507,67795,68277,76511,75795,74449,67555,73691,73685,73875,70428,68273,68885,69812,70166,75793,75792,73877,73687,68884,69542,71842,67946,72634,70745,67561,73879,74455,75789,70752,68643,71845,72394,67799,70420,69818,76509,67388,76508,70421,67798,74453,68279,72396,72631,72938,70915,71360,75462,76209,71359,68387,68393,71358,74746,74169,75465
compétitivité	88	70921,71619,74749,73184,74172,74176,72116,69534,73430,75069,75068,69817,75796,70162,76507,67795,76511,75795,74449,67804,67555,73691,73685,70428,68885,69812,70166,73687,68884,71842,67946,72634,70745,67561,73879,74455,75789,72637,70752,68643,71845,67799,69818,76509,76508,70421,74453,68279,72396,72631,70914,72938,71360,75462,76209,71359,68387,68393,74744,71358,74746,73438,74169,75465
up	56	70921,76211,75068,76207,67068,72629,68881,75795,73691,67802,71842,70751,68281,73878,68643,67799,74450,74451,74452,75461,75066,76208,71359,75466,71616,75465
tex	2	70921,70751
clubtex	4	70921,70751
organiser	71	70921,74170,68638,73437,74172,74748,70923,71620,72114,74175,76212,73182,67392,70162,72629,75795,74449,67804,72399,68882,70170,76515,69186,73690,70428,68887,69541,69543,76516,67802,67553,68889,74456,73884,72393,67946,70751,67561,73689,75788,67945,71845,67941,73883,67940,73880,70423,72396,71363,67071,75071,72939,72938,72122,75466,72121,75464,74746,68384,71617,72120
lendemain	4	70921,75796,70751,76509
après	93	70921,67939,73435,73434,74171,75457,74173,73185,72932,73437,72114,74175,73430,76206,76213,68274,73683,72629,68881,72398,74449,70161,69815,67555,69540,69178,69811,73875,75790,67801,68887,70166,76516,69185,70744,72392,71842,68888,68646,68281,74455,74454,71841,72633,72394,76509,67798,72632,72630,70422,72396,68641,75461,75071,71835,71612,70915,75462,71837,68383,71836,71359,68387,75063,67937,71614,71358,75458,74752,68390,75459
journée	52	70921,72932,73437,73190,74748,74174,67392,75797,76511,76514,76515,70164,69186,73690,69541,67803,76516,70749,72393,68888,70751,70168,69820,70752,72938,75462,75063,72121
inauguration	8	70921,68639,73433,76514,76516,70751,74746
notamment	154	70921,67939,73434,74749,75457,74167,74173,73185,73436,73184,73190,69533,72113,76211,72937,73432,72116,69536,72114,75069,76207,73431,72115,73683,76512,67387,76507,69816,69180,67556,72629,67554,72401,76511,67385,75794,68276,67794,73685,73875,76514,75790,69186,73684,70428,68273,68887,70748,73876,70166,67383,75792,67802,68884,69542,67553,69177,72393,71842,68644,70751,70745,71840,69821,73879,75788,75789,70424,71841,70420,74450,67798,67940,70743,67942,70423,74452,73881,72396,72631,70914,67071,75064,71612,70917,76209,76208,75067,68383,71836,75463,70916,71361,72122,68387,75063,67937,74750,71358,71616,74746,75458,74752,75459
raison	24	70921,67939,68389,69537,76210,72934,76507,67795,69183,68882,69811,73685,70165,75792,69821,73878,67558,68642,75065,70916,74744,74169,71617
regroupement	5	70921,72116,71839,67553,68386
même	155	70921,67939,74170,73434,67938,74167,73185,72932,74748,72113,76210,73432,72116,73183,73430,76206,76212,76213,75068,73182,70919,73683,67386,67387,70162,76507,72629,68881,68883,67554,76511,67385,75795,70161,69815,68276,67794,68882,69540,68886,73685,67800,70165,73684,68273,68887,69184,73876,67383,75792,73877,68884,67553,70744,71843,72392,74457,71842,72634,70745,70747,72636,73689,74455,75788,75789,74454,73878,68280,68643,67558,72394,67941,70420,74450,67389,67388,76508,69819,70421,67798,68642,73880,72631,75064,71835,71612,70915,71362,75462,76209,76208,68383,75463,70916,71359,74751,74745,67937,74744,74750,71614,71358,75458,74168,74169
lieu	36	70921,72932,74748,72113,71621,70162,68881,75795,74449,76510,73684,69179,73876,69820,67945,70420,74450,67389,68642,68279,70917,71358,71366,74752
différent	159	70921,68388,67939,67938,71357,75457,73185,72933,72932,72113,72937,69534,72114,71838,73430,76213,73431,73182,70919,69535,70163,70162,76507,68275,72629,67554,72398,67795,69182,76511,67390,75794,74449,70161,67794,67555,68882,68886,69178,73691,73685,75790,76515,73684,73690,69541,73876,75793,67383,75792,76516,73877,69813,68884,68645,72392,69177,68283,72393,70751,72634,70745,73879,74455,75788,75789,70168,68643,72633,72394,76509,67389,76508,69819,67798,70743,68640,72397,73880,68278,70422,68279,72631,69538,72939,69539,75462,76209,75067,70916,71361,72122,71359,74751,74745,68387,75063,71358,74746,68390,71617
acteur	70	70921,73435,73434,70922,71619,75457,73185,74172,76211,73183,75068,76207,74174,69535,69817,76512,75796,67386,70162,68275,72629,76511,70161,70170,70164,73690,68273,67803,70166,75792,67802,72392,74457,73884,72393,71842,67946,72634,69821,74455,70169,72637,71845,69818,74450,67388,67798,68641,74751,75466,71358,74746,74169
régional	56	70921,67939,73434,74749,72933,74172,74748,74176,73430,69535,69817,68277,69182,67391,67804,72400,68885,73687,68884,67553,70749,71842,70745,67561,73879,74455,75789,71841,70420,67388,76508,72395,67798,70743,72630,70422,72396,72938,75066,70916,68393,68385,71617
secteur	127	70921,74749,74167,73185,74172,74748,72113,72937,72116,72114,76206,72934,76213,76207,73182,67068,68274,70163,75796,67386,75797,76507,72629,75795,75794,74449,76510,70161,69815,73685,73875,70165,68273,69541,68885,67803,70166,75793,67383,73877,73687,67553,70749,68889,69177,74456,73884,72393,72634,70753,72636,73689,73879,74455,70169,68280,72637,70752,68643,67558,72394,74450,76508,73882,70421,72395,67798,68642,68279,70914,75461,75065,75462,76208,75067,68383,71359,75063,73188,68392,74744,74750,71614,74746,75458,74169,74747
aborder	21	70921,72113,72937,73182,67392,72398,67794,67555,76514,70170,67803,72393,73879,70169,74452,71363,72938,71362,72120
perspective	23	70921,67939,69537,74174,69816,72398,67795,67804,69540,67800,68887,69184,73877,75788,70752,67558,72632,71363,76208,67937,75466,68390
second	90	70921,68388,67939,68389,70920,71357,68638,74173,74748,69533,68639,72935,72934,67068,69535,69817,76507,72629,67385,75794,70161,67794,67555,68882,69540,73685,76514,75790,68273,68887,73686,75793,67383,76516,70167,67802,70749,69177,72393,71842,70751,70745,68646,73879,70169,75789,74454,70424,70420,76508,73882,70421,67942,72397,72118,75064,71360,76209,76208,75067,70916,71361,72122,71616,74752,74168,74169,71617
pratique	32	70921,73184,74748,72113,69537,76211,72937,75069,73431,73683,67392,76513,72401,67555,73685,67801,68885,73876,75793,67383,74455,73883,70421,72630,68279,75071,71362,73438,74169
quelque	122	70921,73434,68389,71357,68638,75457,74167,72933,72932,73184,70923,72113,72937,73432,71621,73430,76206,72934,73431,73182,70919,69535,68274,73683,70163,67386,75797,76507,72629,76511,75795,67390,70161,68276,67555,73685,73875,75791,67801,73684,69179,70166,75793,70167,73877,70744,71842,68644,70745,71840,70425,69821,73879,68281,70169,75789,73878,68280,73688,67558,72394,70420,74450,70421,67942,72397,70422,72396,75065,71835,71612,75462,71837,76209,76208,68383,71836,70916,74751,73189,67937,74744,74750,71358,75458,74752,74168,73438,74169,68391,74747
350	3	70921,67553,67945
400	14	70921,72933,75797,73691,69812,67553,75789,68640,68279,75065,71837,75067,70916,75458
participant	24	70921,68638,71619,72937,73683,75796,75795,72399,73691,73877,73884,72634,67944,73689,70169,69820,73882,71363,75464
monde	137	70921,67939,74170,67938,70920,71357,68638,75457,74167,73185,73436,72933,72932,71618,72113,69537,74176,73433,76211,73432,71621,72116,69534,73183,73430,72935,76213,75068,76207,73431,73182,69535,72115,68274,69181,73683,69817,75796,67387,75797,76507,72629,68881,72401,67795,67391,70161,68276,67794,70429,69811,76515,69179,70748,67383,67802,69813,72635,71843,72392,74455,74454,73878,69820,70420,74450,70421,70743,68640,73880,70422,72396,72631,70914,75065,72939,71835,71612,71837,68383,70916,71359,74745,67937,68392,74744,71358,71366,74752,74168,74169,75459
entier	21	70921,67939,72933,73431,68274,69181,69183,70429,69811,67800,76515,67802,72635,73880,71612,71837,71359,74745,74744,75459
discuter	2	70921,71363
confronter	25	70921,67938,74167,74173,71621,69534,73182,72629,72398,70161,68882,73877,67553,74455,68643,67389,70421,72396,75458,74168
leur	129	70921,67939,73434,68389,68638,71619,75457,74167,72933,71618,69533,71621,72116,69536,69534,73183,73430,75069,76212,73431,73182,74174,69535,72115,68274,73683,70163,75796,67387,75797,76513,70162,69816,68275,72629,68881,72401,68277,69814,67391,69183,67794,72400,67555,68886,73691,73685,73875,72940,69186,68273,75792,73877,68645,74456,70753,67561,71841,70746,72394,76509,74450,67389,76508,72395,67798,67940,72632,72630,70422,72631,75461,72939,75070,72119,71837,75067,68383,71836,75463,72122,71359,74751,74750,71614,75458,68384,74169,68391,75459,75465
idée	77	70921,68638,74167,73185,72933,72932,73184,74172,72113,69537,71621,76206,75068,73431,74174,67068,72115,68274,73683,68881,67554,73685,67801,73876,75793,67383,75792,73877,67553,70744,68644,72634,69821,70424,76508,70421,72395,68642,70423,71363,75461,75065,72939,75063,74750,71614,75458,74752,74169,75459
afin	152	70921,74170,73186,70920,71619,74749,75457,72933,72932,73184,76211,72937,69534,72114,73183,75069,76213,75068,76207,72115,67557,69181,73683,70163,67386,67387,70162,69816,68275,67797,72629,75794,74449,70161,67794,68882,69540,70429,69178,69811,73691,75790,75791,70170,73684,68887,73876,70166,75793,67383,75792,73877,69813,68884,67553,70749,72635,69177,73884,71842,72634,70425,75788,75789,74454,67558,71845,72394,74450,67389,76508,69819,70421,67940,72630,72397,73880,74452,70422,68279,69538,72118,75065,75064,75070,71612,69539,72119,76209,75066,70916,71359,75063,74744,71366,75458,74168,74169,74747,71617,75465
émerger	31	70921,73434,67938,68638,74167,71620,72114,76213,73431,68882,69811,73876,75793,67383,69813,70744,71842,68643,74450,68279,71612,76209,74751,75458,74752
projet	419	70921,67939,73186,71357,68638,71619,74749,75457,73185,72933,73190,74172,74748,70923,69537,74176,73433,76211,72936,72937,73432,72116,69534,72114,70918,73183,73430,75069,76212,75068,67557,73683,69817,70163,76512,67386,76513,70162,76507,69816,69180,68275,68883,68277,69814,76511,67385,75794,74449,70161,69815,68276,72400,67555,69178,69811,73691,73685,73875,75790,70164,73684,69179,70428,69541,68885,73876,70166,75793,67383,75792,69813,73687,68884,67553,70749,68645,72392,69177,71842,72634,70745,73879,68281,74455,75789,70168,67945,72633,72394,67799,70420,69818,76509,74450,67388,76508,70421,72395,67798,67940,70743,68642,67942,68279,67943,72631,68641,71363,69538,72118,70914,75461,75065,72939,75064,71835,71612,75460,71360,75066,76208,75067,68383,75463,70916,71359,74751,68387,68393,75063,68392,71614,71358,72121,74746,75458,74752,73438,74169,68385,75465
générer	29	70921,73434,68638,73184,74748,72113,73432,71621,72116,72114,67390,75794,72399,68882,67802,68643,76508,70743,72397,74453,75064,71361,73188,71366,74746,74168
application	112	70921,74170,73434,68638,73190,69533,72113,68639,73433,76210,72116,72934,76207,73431,73182,71839,67068,67796,75796,67392,75797,76507,68881,67554,76511,75795,67390,70161,72399,70429,67800,70170,69179,73876,70166,70744,69177,68644,73879,70169,75788,69820,68280,71841,72633,72394,76509,74450,74451,76508,70421,72630,70423,74453,74452,70422,68641,75461,75071,71835,69539,76208,75067,71836,72122,71359,68393,75063,67937,68392,74744,74750,71616,68390,68384,75459
moins	99	70921,67939,67938,68389,71357,74167,74173,72932,73437,73184,69533,72117,74176,76210,73432,71621,69534,76206,72934,76213,73683,68881,68883,67554,69814,76511,75794,70161,67794,68886,69178,69811,70165,75790,67801,73684,70166,73877,67553,70744,71843,72393,70747,73879,74455,75789,70424,71841,68643,69818,69819,68640,72397,68279,72631,75064,71835,75460,72119,75462,71837,76208,75067,68383,71836,71359,71615,74745,71614,74752,74168,74169,75459,71617
long	90	70921,67939,74170,73434,73187,74749,74167,74173,73185,72932,72116,69534,70918,76213,73182,73683,70162,72629,68881,68883,76511,75794,68882,70429,69178,73875,76515,73684,68273,68887,70167,70744,72392,72393,72634,70747,70425,73879,75789,74450,67940,72396,72631,72939,75064,71835,71837,70916,71366,75458,74752,74169,75459,71617
terme	127	70921,74170,73186,73187,68638,74167,74173,73184,69533,72937,73432,72116,69534,72114,70918,73430,75069,76206,76213,75068,70919,69535,68274,73683,69817,72629,68881,68883,67554,68277,69814,76511,67391,67390,75794,70161,69183,67794,68882,69540,68886,70429,69178,70165,73684,68273,68887,69812,73876,75793,75792,69813,68884,67553,70749,70744,71843,71842,72634,70745,70753,70747,73879,74455,75788,75789,74454,68280,70420,76509,67388,74451,69819,70421,72395,69538,75461,75064,71835,70915,76209,75067,68383,70916,71361,73189,75063,73188,74744,71358,71366,75458,74752,68390,75459
agir	123	70921,68388,67938,70920,74749,75457,73185,73436,73184,68639,76210,69536,69534,73183,76206,73431,72115,67796,68274,69817,67386,70162,72629,68881,67554,72401,67795,69814,67385,67390,76510,70161,67794,67555,69178,69811,73685,67800,75790,72940,69186,73876,75793,67383,75792,69185,69813,67553,68889,71843,72392,69177,72393,70745,70747,68646,67944,71840,75788,75789,74454,72637,68643,71845,67941,74450,67388,72395,67798,70743,68278,70423,73881,68279,72396,72118,67071,75064,71835,70915,71362,71837,75067,68387,67937,71614,75458,74752,68390,74168,74169,75459
susciter	12	70921,71357,68638,76206,72934,72940,70424,68278,72631,72938,71360
imagination	2	70921,70421
sorte	27	70921,68638,74749,70923,72113,72116,72114,67385,67391,74449,70161,67553,70744,72393,72634,73879,70420,76509,72631,71835,71612,76209,75458
celer	101	70921,68388,67939,67938,71357,68638,74749,75457,74167,73185,69533,73432,71621,69534,72114,73430,76206,76213,73182,67068,69535,72115,68274,73683,76507,72629,67795,69814,67385,67391,75794,70161,67794,67555,68882,75790,67801,73684,70166,75792,73877,70749,72392,69177,74457,69821,73879,74455,75789,72637,68643,67558,72394,70420,74450,67388,72632,72630,67942,74453,70422,68279,75065,71835,69539,72119,70917,71837,68383,71836,75463,71359,68387,75063,67937,74750,71614,75458,74752,74168,75459
concrétiser	6	70921,74172,67068,68881,72392,68643
collaboration	88	70921,68388,70922,74749,74173,72932,73184,71618,72113,76211,76210,69536,72114,71838,73430,76212,75068,76207,67387,70162,69180,68881,76511,67385,67391,69540,68886,69178,70165,68885,69812,73876,70167,67802,73877,68884,71843,72392,68644,72634,70425,71841,72394,76508,69819,70421,72397,68278,70422,68279,67943,75064,75070,71612,69539,75463,72122,68387,73189,75063,73188,74750,71358,75458,68390,68384,68391,75459
partenariat	84	70921,74170,73434,70920,71357,73185,74172,74748,68639,71621,69536,73430,75068,74174,68883,72398,67795,70161,69815,68276,73691,76515,73684,70748,73876,70166,75793,69813,68888,70751,70745,70753,67561,67944,73689,74455,67945,70420,70421,68642,72630,68278,70422,72396,71363,72938,71612,71360,72122,68393,68392,74744,71358,72121,75464,68384,75465
résumer	68	70921,67938,74749,75457,74167,72933,72932,73184,74172,69533,72113,75069,76206,73431,72115,68274,69817,72629,68881,76511,73685,73875,75790,73684,69179,73876,70166,67383,73877,70749,69177,74457,69821,74455,75788,74454,68643,70420,76509,74450,72631,70914,75065,75064,71835,71612,76209,75066,68383,71359,74745,68387,67937,71358,75458,74752,74168,74169
karine	2	70921
wallois	1	70921
chef	21	70921,71619,74749,74172,72113,74176,75069,75068,68274,76511,70166,75792,72395,70916,75063,74744,75458,74752,74168
cadre	157	70921,73186,73435,74171,68638,74749,73184,69533,72117,69537,73433,73432,69536,70918,72935,72934,75068,76207,73431,73182,74174,69535,73683,69817,67386,76513,70162,69816,68275,72629,72398,67795,68277,69814,76511,67385,75794,74449,68882,69178,69811,73685,73875,75790,70164,73684,69179,69541,68885,69812,73876,75793,73877,73687,70749,69177,72634,70745,70753,68646,73879,75789,74454,68280,70424,71841,68643,72394,67799,70420,73883,69818,67388,70421,67940,70743,72630,67942,74453,70422,73881,72631,71363,69538,75064,71612,75460,71362,71360,76209,68383,71359,74751,68387,68393,74744,74750,71358,75464,71616,74746,75458,74752,68384,74168,68385,75459
ailleurs	44	70921,71357,68638,74749,75457,74167,70923,72113,73432,73430,76206,67068,72115,76507,68883,67795,76511,74449,76510,68273,68885,69185,73687,70749,68645,69177,72393,67944,71840,75788,70421,67798,68279,75065,71360,71836,70916,71359,68387,74746,68390
charger	24	70921,67939,72932,72116,73683,69178,75790,69179,70428,70749,69177,74456,72393,72634,73688,74450,72630,70422,74746,75459
présenter	87	70921,68388,71357,71619,73436,73184,73190,74748,69537,74176,76210,71621,72114,75069,75068,73431,74174,69535,72115,73683,70162,67556,67554,67385,67391,74449,72399,72400,69811,73691,76514,70164,69186,67801,70428,69541,73877,67553,70749,74456,72393,70751,72634,75788,70168,68280,73688,70752,67558,71845,67941,67389,67388,76508,72630,70423,74452,70422,68279,72118,72939,70915,68383,74744,75464,74746,74169,68385,75459,75465
industriel	219	70921,73434,75457,74167,73436,72933,73190,74172,70923,72113,76211,72936,72937,73432,72116,69534,72114,73183,73430,76213,75068,76207,74174,71839,67068,69535,67557,68274,69817,75796,67392,67386,68275,72629,68881,67554,76511,67385,75795,75794,70161,69815,68276,72399,67555,68882,73685,73875,76514,75790,75791,70170,69179,68273,69541,70748,68885,73876,70166,75793,67383,75792,67553,70749,72392,70426,74456,73884,72393,67946,68888,72634,70753,71840,73879,74455,68280,67945,70752,67558,72394,70420,69818,74450,67388,76508,69819,73882,67798,68642,72630,68278,70422,72396,68641,71363,70914,75071,75065,72938,70915,71362,71360,70917,75462,68383,71361,71359,71615,68393,73188,68392,74744,71614,71358,72121,75464,74746,68390,74168,74747,75465
sou	139	70921,67939,67938,70920,68638,71619,75457,74173,72932,73190,74748,69533,72113,68639,74176,76210,72114,70918,74175,73430,72935,75068,76207,73182,72115,67796,68274,69181,73683,69817,70163,76512,68275,67556,68881,68883,67554,72401,68277,76511,67390,74449,69815,67555,69540,70429,69178,73875,70165,76515,73684,68273,69543,68885,73686,75792,70167,67802,73877,73687,68884,67553,72635,72392,74456,73884,68644,72634,70425,74455,75788,68280,73688,70746,72637,68643,67558,70420,67388,67798,68279,72939,71835,71612,69539,75462,75067,68383,75463,70916,71358,72121,74746,74752,75465
3	78	70921,68388,73434,73184,72936,69534,73183,75069,76212,72935,67387,67556,76511,69815,68276,72400,67555,69178,69811,75791,69179,68887,69541,68885,73686,75793,67802,73687,68884,67553,70749,68889,69177,68888,70751,72634,67944,72633,73883,74450,70743,68642,72397,68279,69538,75071,75065,75462,75067,68387,75063,67937,75458,74168,75459
angle	4	70921,72113,73182
technologie	231	70921,73435,68638,71619,75457,74167,73185,73436,73184,73190,70923,72113,72117,76210,73432,72116,69534,70918,71838,75069,72935,72934,76213,76207,73431,73182,74174,71839,67068,69535,72115,67557,67796,75796,69180,67797,72629,68881,67554,69814,75795,67390,70161,69815,68276,72399,70429,69811,73691,69179,68273,68885,73686,73876,75792,68884,67553,72392,70426,69177,74456,68283,73884,72393,70751,70753,71840,73879,68281,75789,70168,74454,73878,72633,67388,74451,76508,70421,68642,68640,72630,72397,70422,72118,70914,75461,75065,72938,75064,71612,70915,75462,76209,75066,76208,75067,75463,70916,71359,74745,74744,71614,74746,74168,74747
fibre	24	70921,72932,72934,70167,70751,68641,71614
1	107	70921,68388,73434,73187,74171,71619,74749,74173,73185,73184,72117,76210,69534,75069,72934,73431,72115,73683,67387,68881,68277,69182,69814,75794,68882,69540,69178,67800,67801,73684,69179,68273,69541,68885,75793,67802,73687,68889,72392,72634,68646,70425,73689,71841,68643,72394,76509,67388,76508,67940,70743,68640,72397,74453,68279,72631,68641,67071,75065,75064,70915,71362,71360,75067,68383,70916,73189,72121,75458,68390,68391
management	14	70921,73190,72937,70748,70751,70168,74451,72395,68383,74751,71616
innovation	321	70921,74170,73186,73187,74171,67938,70920,75457,74167,72933,73190,74172,74748,69533,72113,68639,69537,71620,74176,73433,76211,72937,69536,70918,71838,73430,75069,76212,72935,72934,76213,75068,73182,71839,67068,70919,69535,67557,67796,68274,69181,70163,67386,67387,75797,70162,76507,69816,69180,67797,67556,68883,67795,68277,69814,67385,76510,70161,69815,68276,72400,68882,70165,76514,75790,75791,70164,68273,70748,69543,68885,73686,73876,67383,73687,68884,70744,72392,74456,72393,67946,70751,70753,67561,71840,70425,73689,73879,74455,75789,70168,74454,70424,71841,70752,72633,67941,70420,73883,69818,76509,74451,73882,72395,67940,72632,70743,68642,68640,72630,67942,73880,68278,70423,74453,74452,68279,68641,71363,69538,70914,67071,75071,75065,72938,75460,71360,70917,76209,75066,76208,68383,71361,72122,71359,71615,68393,68386,74744,74750,75466,71616,74752,68384,73438,68385,74747,71617,75465,72120
2	79	70921,67939,73435,73434,71357,73437,73184,74748,69533,74175,69817,76512,75796,67387,72398,69182,70161,69815,68276,67794,67555,69540,67800,69186,69179,68273,68885,69812,67802,73877,69813,73687,69542,72635,71843,69177,72393,70746,72633,74450,67388,67940,68279,72631,75071,70915,72119,71360,75066,71836,70916,74751,68392,72121,74746,75458,72120
barrièr	1	70921
filtration	4	70921,72399,70751
isolation	2	70921,70751
familiariser	2	70921,70162
outil	119	70921,73434,74171,74167,72932,71618,68639,69537,69536,69534,76207,73431,73182,72115,75796,76513,70162,76507,68275,67554,76510,70161,69815,69183,67555,68882,69811,73685,76514,72940,70170,68885,69812,73876,70166,73877,69813,72392,73879,68281,75788,69820,72637,68643,70420,70421,67798,68279,70914,75064,75070,76208,71359,74751,74745,74744,74168,75459
